"min_left_angle","max_left_angle","min_right_angle","max_right_angle","rep_duration","left_rom","right_rom","elbow_rom_diff","concentric_duration","eccentric_duration","left_peak_velocity","right_peak_velocity","torso_lean_mean","torso_lean_max","torso_sway","left_elbow_drift","right_elbow_drift","pose_visibility_mean","pose_visibility_min","tracking_lost_ratio","err_partial_rom","err_too_fast","err_torso_sway","err_elbow_drift","err_asymmetry","err_shoulder_swing","err_wrist_compensation","err_control_loss","is_good"
"11.35","176.89","14.3","179.69","2.99","165.53","165.38","0.15","2.67","0.27","1270.94","1450.62","0.36","1.0","0.99","0.0166","0.0083","0.971","0.9525","0.0","0","0","0","0","0","0","0","0","1"
"12.46","174.92","16.36","179.98","1.77","162.45","163.62","1.16","1.41","0.32","1209.77","1517.42","0.58","0.81","0.67","0.0067","0.0116","0.9803","0.9661","0.0","0","0","0","0","0","0","0","0","1"
"10.59","174.39","15.17","178.62","2.07","163.79","163.45","0.34","1.63","0.41","1194.07","1067.58","0.4","1.17","1.16","0.0039","0.0155","0.9823","0.9722","0.0","0","0","0","0","0","0","0","0","1"
"22.47","177.38","32.78","179.61","2.28","154.92","146.83","8.09","2.0","0.25","2030.39","1333.97","0.83","1.3","0.94","0.0059","0.0098","0.9786","0.9709","0.0","1","0","0","0","0","0","0","0","0"
"11.72","179.99","17.59","180.0","9.55","168.27","162.41","5.86","9.02","0.46","1908.22","1077.42","1.29","6.41","6.35","0.2381","0.2467","0.7216","0.4112","0.0","0","0","0","0","0","0","0","0","1"
"16.32","179.99","16.93","179.98","5.01","163.67","163.05","0.62","4.43","0.53","1319.53","1033.91","0.62","1.29","1.28","0.0122","0.0334","0.8873","0.3386","0.0","0","0","0","0","0","0","0","0","1"
"10.38","178.83","13.04","178.81","4.09","168.44","165.77","2.67","3.49","0.54","1235.89","1210.15","0.97","1.5","1.2","0.0168","0.0116","0.9902","0.9817","0.0","0","0","0","0","0","0","0","0","1"
"11.3","178.47","11.67","178.99","5.54","167.17","167.33","0.15","4.89","0.57","941.78","1180.58","1.0","2.66","2.6","0.0406","0.0517","0.9876","0.976","0.0","0","0","0","0","0","0","0","0","1"

"10.69","179.99","15.24","179.8","6.4","169.3","164.56","4.74","5.89","0.46","1153.1","949.11","0.7","2.18","2.17","0.177","0.3164","0.7397","0.2199","0.0","0","0","0","0","0","0","0","0","1"
"9.97","179.99","15.67","179.21","12.98","170.03","163.54","6.48","12.3","0.64","1491.88","1183.87","1.4","1.88","1.88","0.0332","0.0427","0.9836","0.97","0.0","0","0","1","0","0","0","0","0","0"


"10.12","179.99","13.24","178.96","6.34","169.87","165.72","4.15","5.46","0.82","1006.16","1042.57","0.95","2.48","2.13","0.0244","0.0535","0.9829","0.9157","0.0","0","0","0","0","0","0","0","0","1"

"9.43","179.82","13.35","179.79","4.43","170.4","166.44","3.96","3.7","0.69","774.72","638.45","0.85","2.47","2.24","0.042","0.0616","0.9937","0.9835","0.0","0","0","0","0","0","0","0","0","1"
"16.57","179.85","10.56","179.95","5.07","163.28","169.39","6.11","4.38","0.64","955.99","898.91","0.63","1.61","1.6","0.052","0.2195","0.9","0.5663","0.0","0","0","0","0","0","0","0","0","1"

0.25,180.0,0.27,179.9,9.34,179.75,179.63,0.12,8.85,0.45,2233.3,2639.37,1.01,3.21,3.21,0.1424,0.099,0.9719,0.8588,0.0,0,0,0,0,0,0,0,0,1
0.29,180.0,0.26,179.9,8.32,179.71,179.64,0.07,7.54,0.73,3123.59,2873.61,0.61,2.68,2.67,0.1153,0.3929,0.8962,0.6468,0.0,0,0,0,0,0,0,0,0,1
8.13,179.94,12.59,179.91,8.7,171.81,167.32,4.49,8.18,0.46,2440.85,2594.82,0.84,4.61,4.6,0.1581,0.4246,0.9022,0.6843,0.0,0,1,0,0,0,0,0,0,0
12.54,179.99,20.95,179.95,7.16,167.45,159.0,8.45,6.6,0.5,2006.23,1372.91,1.02,4.36,4.32,0.1198,0.3682,0.9447,0.8669,0.0,1,0,0,0,0,0,0,0,0
11.51,179.95,0.65,179.98,6.14,168.45,179.33,10.88,5.91,0.17,2313.26,2652.14,1.07,3.45,3.42,0.1593,0.3981,0.9386,0.8686,0.0,0,0,0,0,1,0,0,0,0

0.1,179.87,7.0,179.77,7.9,179.77,172.77,7.0,7.31,0.55,2495.46,1404.04,1.08,2.97,2.96,0.107,0.2575,0.8595,0.4567,0.0,0,0,0,0,0,0,0,0,1




0.6,179.92,0.25,179.93,10.05,179.32,179.68,0.37,9.67,0.34,1311.48,2540.11,1.98,9.09,9.08,0.5439,0.2088,0.9136,0.6853,0.0,0,0,1,0,0,0,0,0,0
1.46,179.98,0.56,179.95,5.98,178.52,179.4,0.88,5.48,0.46,2078.15,1856.54,0.57,2.03,2.03,0.0998,0.1678,0.9087,0.58,0.0,0,0,0,0,0,0,0,0,1
9.66,179.94,2.75,179.97,5.7,170.28,177.21,6.94,5.57,0.07,2172.4,2743.87,0.68,3.32,3.31,0.0816,0.1895,0.8836,0.5538,0.0,0,1,0,0,0,0,0,0,0
6.79,179.99,41.92,179.99,4.96,173.2,138.07,35.13,0.51,4.4,2066.05,1928.78,0.94,2.94,2.9,0.1731,0.2814,0.7425,0.3659,0.0,1,0,0,0,0,0,0,0,0
0.1,179.99,0.42,179.81,6.28,179.89,179.39,0.5,5.82,0.41,1892.16,898.78,1.78,9.18,9.17,0.1845,0.1238,0.9043,0.5153,0.0,0,0,1,0,0,0,0,0,0
1.21,180.0,0.32,179.98,8.63,178.79,179.66,0.87,8.22,0.37,2162.92,2183.55,0.95,4.41,4.38,0.5181,0.5351,0.9074,0.6593,0.0,0,0,0,0,0,0,0,0,1
0.42,179.69,5.15,179.08,4.51,179.27,173.93,5.34,4.38,0.08,2629.11,2156.18,0.23,1.03,1.03,0.0208,0.0103,0.9786,0.9569,0.0,0,0,0,0,0,0,0,0,1
0.62,179.98,0.13,179.74,33.72,179.36,179.61,0.25,33.26,0.41,2444.72,2501.71,0.83,2.79,2.79,0.6085,0.4924,0.8488,0.4854,0.0,0,0,0,0,0,0,0,0,1
4.22,179.82,1.29,179.86,2.97,175.6,178.58,2.97,2.68,0.24,2590.23,2634.54,0.95,1.87,1.78,0.0079,0.0053,0.976,0.9679,0.0,0,1,0,0,0,0,0,0,0

5.9,179.93,4.13,179.94,7.87,174.02,175.81,1.79,7.74,0.08,2097.73,2072.87,2.12,10.81,10.8,0.0902,0.1283,0.9419,0.6786,0.0,0,0,1,0,0,0,0,0,0
1.14,179.95,0.02,179.99,6.51,178.81,179.98,1.17,5.97,0.5,2219.76,1431.23,0.78,3.76,3.75,0.1322,0.1048,0.8943,0.5749,0.0,0,0,0,0,1,0,0,0,0
16.61,179.99,0.77,179.7,6.43,163.38,178.93,15.55,6.11,0.28,1266.34,1928.38,0.66,2.59,2.58,0.1257,0.0969,0.8914,0.5198,0.0,0,0,0,0,0,0,0,0,1
